Horodateur,"Ce questionnaire est réalisé par des étudiants de Master 2 de l'ISPM dans le cadre d'un examen académique (projet ORIENT'IA, un assistant d'aide à l'orientation).

Il est entièrement anonyme : aucun nom, e-mail ou numéro de téléphone n'est collecté. Vos réponses seront utilisées uniquement dans le cadre de ce projet, sous forme anonymisée. Vous pouvez arrêter de répondre à tout moment. Répondre prend moins de 5 minutes.",Consentement (obligatoire),Quelle était votre série de bac ?,Quelles étaient vos matières préférées au lycée ? (3 max),Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Mathématiques],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Sciences expérimentales],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Langues et communication],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Économie-gestion],Quelles compétences aviez-vous au moment de choisir vos études supérieures ?,Quels étaient vos centres d'intérêt à cette époque ? (4 max),"Aviez-vous déjà réalisé des projets ou activités marquants (club, association, petit business, compétition…) ?",Quel environnement de travail recherchiez-vous ?,Quel type de métier visiez-vous ? (2 max),"Aujourd'hui, vous êtes… ?",Quelle filière / quel parcours suivez-vous actuellement ?,En quelle année d'étude êtes-vous ?,À quel point êtes-vous satisfait(e) de votre choix de filière ?,"Si c'était à refaire, choisiriez-vous la même filière ?",Quelle filière / quel domaine d'études avez-vous suivi ?,Quel métier exercez-vous aujourd'hui ?,Depuis combien d'années travaillez-vous ?,"Avec le recul, votre formation était-elle adaptée au métier que vous exercez ?","Avec le recul, auriez-vous choisi une autre filière ?"
26/08/2026 15:24:14,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Mathématiques,5,5,2,3,Programmation,Technologie / informatique,Club,Mixte / peu importe,Technique / ingénierie,Professionnel(le) en activité,,,,,Informatique,Étude ,Plus de 15 ans,1,Pas sûr(e)
26/08/2026 15:24:23,Ok,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,SVT,3,4,2,2,Vente / négociation,Agriculture / environnement,Oui,Atelier / usine,Commerce / relation client,Professionnel(le) en activité,,,,,Paramed,Menager,3 à 7 ans,1,Pas sûr(e)
26/08/2026 15:29:09,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Histoire-Géographie",3,2,3,2,"Rédaction / communication, Travail en équipe",Droit / justice,Association ,Mixte / peu importe,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,DTJA — Droit et Techniques Juridiques des Affaires,M2,5,Oui,,,,,
26/08/2026 15:29:53,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"Mathématiques, Physique-Chimie, Langues étrangères",2,1,3,2,Autre,"Technologie / informatique, BTP / construction","Non,jamais",Terrain / extérieur,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"ESIIA — Électronique, Systèmes Informatiques et IA",L1,1,Non,,,,,
26/08/2026 15:38:16,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Histoire-Géographie",4,4,3,3,"Analyse de données / logique, Rédaction / communication, Organisation / gestion de projet, Vente / négociation, Travail en équipe","Technologie / informatique, Sciences, Entrepreneuriat / business, Agriculture / environnement","Oui, j'en ai réalisé une fois dans mon association ",Atelier / usine,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,Diplômé(e) depuis moins de 3 ans,5,Oui,,,,,
26/08/2026 15:39:12,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Langues étrangères, Sport",2,3,5,4,"Électronique / bricolage technique, Autre",Autre,Oui club de sport ,Terrain / extérieur,"Commerce / relation client, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,4,Oui,,,,,
26/08/2026 15:48:16,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"SVT, Français / Littérature, Langues étrangères",1,1,3,2,Autre,"Sciences, Agriculture / environnement",Non,Terrain / extérieur,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,L2,5,Oui,,,,,
26/08/2026 16:13:30,Ok,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, Informatique / Technologie",3,2,3,2,"Programmation, Organisation / gestion de projet",Technologie / informatique,Oui,Bureau,Entrepreneur / indépendant,Professionnel(le) en activité,,,,,Génie logiciel et basé de donner ,Développer informatique ,8 à 15 ans,5,"Non, le même choix"
26/08/2026 16:14:37,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Physique-Chimie, Informatique / Technologie, Histoire-Géographie, Sport",2,2,2,1,"Programmation, Créativité / design, Autre","Technologie / informatique, Tourisme / hôtellerie",Compétition d' Algorithme & CodingGame,Mixte / peu importe,"Création / design, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",Diplômé(e) depuis moins de 3 ans,3,Oui,,,,,
26/08/2026 16:14:59,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"SVT, Histoire-Géographie, Sport",1,3,2,1,"Vente / négociation, Autre",Autre,"
Boutique en ligne sur l'importation - exportation",Mixte / peu importe,"Commerce / relation client, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,3,Oui,,,,,
26/08/2026 16:23:03,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT, Histoire-Géographie, Sport",2,3,1,1,Autre,"Sciences, BTP / construction, Autre",,Mixte / peu importe,Je ne sais pas encore,Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,5,Oui,,,,,
26/08/2026 16:27:41,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,SVT,2,3,4,3,"Rédaction / communication, Créativité / design, Organisation / gestion de projet, Autre","Sciences, Art / design / audiovisuel, Agriculture / environnement",Oui club,Terrain / extérieur,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,L2,4,Oui,,,,,
26/08/2026 16:30:19,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",4,5,3,4,"Analyse de données / logique, Vente / négociation, Travail en équipe","Technologie / informatique, Sciences, Art / design / audiovisuel, Santé / social",Club,Atelier / usine,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"ISAIA — Informatique, Statistique Appliquée et IA",M2,5,Oui,,,,,
26/08/2026 16:48:43,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie",3,1,1,2,Autre,"Technologie / informatique, Sciences, Entrepreneuriat / business","Oui, petit business ",Mixte / peu importe,"Recherche / enseignement, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,M2,4,Oui,,,,,
26/08/2026 16:59:36,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,SVT,2,3,2,1,Créativité / design,Finance / comptabilité,,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M1,3,Pas sûr(e),,,,,
26/08/2026 17:03:56,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie, Histoire-Géographie",4,4,2,2,"Programmation, Analyse de données / logique, Créativité / design, Électronique / bricolage technique","Technologie / informatique, Art / design / audiovisuel",Oui,Bureau,Technique / ingénierie,Professionnel(le) en activité,,,,,Info,Tech lead,3 à 7 ans,4,"Non, le même choix"
26/08/2026 17:09:29,Ok,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Histoire-Géographie",3,5,5,3,"Rédaction / communication, Organisation / gestion de projet, Autre","Sciences, Entrepreneuriat / business, Finance / comptabilité, Tourisme / hôtellerie, Agriculture / environnement",Non,Terrain / extérieur,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,M2,3,Oui,,,,,
26/08/2026 17:18:53,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Français / Littérature",2,5,4,1,"Créativité / design, Organisation / gestion de projet, Travail en équipe","Sciences, Entrepreneuriat / business, Agriculture / environnement, Santé / social",Oui,Laboratoire,"Technique / ingénierie, Recherche / enseignement, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,5,Oui,,,,,
26/08/2026 17:25:53,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Physique-Chimie, Français / Littérature, Langues étrangères",2,2,2,2,"Rédaction / communication, Vente / négociation","Entrepreneuriat / business, Communication / médias",Oui,Mixte / peu importe,"Commerce / relation client, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Communication ,Vente,3 à 7 ans,3,"Non, le même choix"
26/08/2026 17:27:00,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Histoire-Géographie",3,1,3,2,"Rédaction / communication, Organisation / gestion de projet, Électronique / bricolage technique, Travail en équipe","Technologie / informatique, Communication / médias",Oui,Bureau,Gestion / management,Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,L2,3,Oui,,,,,
26/08/2026 17:33:31,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Sport,4,3,2,1,Autre,Santé / social,pas vraiment,Laboratoire,Je ne sais pas encore,Étudiant(e) — ou diplômé(e) depuis peu,PIP — Pharmacologie et Industries Pharmaceutiques,L2,3,Oui,,,,,
26/08/2026 17:38:29,Okey alors,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,Informatique / Technologie,4,3,3,3,"Programmation, Analyse de données / logique","Technologie / informatique, Art / design / audiovisuel, Communication / médias, Autre",Oui,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,M2,3,Oui,,,,,
26/08/2026 17:39:26,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Langues étrangères, Arts, Sport",2,3,3,2,"Créativité / design, Organisation / gestion de projet, Vente / négociation","Art / design / audiovisuel, Communication / médias, Tourisme / hôtellerie",Une association ,Bureau,Création / design,Professionnel(le) en activité,,,,,Tourisme Voyages et Hôtellerie ,Agence de Voyage ,3 à 7 ans,4,"Non, le même choix"
26/08/2026 17:45:15,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Informatique / Technologie",4,3,3,2,"Programmation, Électronique / bricolage technique",Technologie / informatique,"Oui, au sein du club robotique",Terrain / extérieur,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,M1,3,Pas sûr(e),,,,,
26/08/2026 17:53:50,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, SVT",3,4,5,4,"Programmation, Créativité / design","Technologie / informatique, Communication / médias",,Bureau,Création / design,Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",M1,3,Non,,,,,
26/08/2026 17:59:18,D'accord,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,Langues étrangères,1,2,3,2,"Rédaction / communication, Travail en équipe, Autre","Sciences, Tourisme / hôtellerie, Agriculture / environnement, Autre",Oui ,Mixte / peu importe,"Technique / ingénierie, Gestion / management",Étudiant(e) — ou diplômé(e) depuis peu,TEE — Tourisme et Environnement,M2,3,Oui,,,,,
26/08/2026 18:01:53,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT",3,4,2,3,Créativité / design,Santé / social,Non ,Atelier / usine,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,M2,4,Oui,,,,,
26/08/2026 18:12:23,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Langues étrangères, Sport",1,3,4,1,Travail en équipe,Tourisme / hôtellerie,,Mixte / peu importe,Entrepreneur / indépendant,Professionnel(le) en activité,,,,,Langues,Conseillère client,3 à 7 ans,5,Oui — laquelle : ___
26/08/2026 18:13:05,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT",2,4,3,2,Autre,"Sciences, Agriculture / environnement",,Laboratoire,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,3,Oui,,,,,
26/08/2026 18:19:47,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT",2,5,3,3,Organisation / gestion de projet,"Sciences, Agriculture / environnement",,Laboratoire,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,4,Pas sûr(e),,,,,
26/08/2026 18:19:50,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Français / Littérature, Langues étrangères, Histoire-Géographie",2,3,3,3,Autre,"Sciences, Entrepreneuriat / business, Agriculture / environnement",Oui ,Laboratoire,"Technique / ingénierie, Gestion / management, Commerce / relation client, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,L2,3,Pas sûr(e),,,,,
26/08/2026 18:31:03,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Mathématiques, Physique-Chimie",4,3,3,3,Autre,"Entrepreneuriat / business, Finance / comptabilité, Communication / médias",Oui,Bureau,"Gestion / management, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,FIC — Finances et Comptabilités,M1,4,Oui,,,,,
26/08/2026 18:31:51,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT, Français / Littérature, Langues étrangères",3,4,3,1,Autre,"Sciences, Autre",Non,Atelier / usine,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,M2,4,Oui,,,,,
26/08/2026 18:35:25,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Économie / Gestion, Sport",1,2,4,4,"Rédaction / communication, Organisation / gestion de projet, Travail en équipe",Entrepreneuriat / business,,Terrain / extérieur,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,CAA — Commerce et Administration des Affaires,M2,3,Pas sûr(e),,,,,
26/08/2026 18:40:26,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,Mathématiques,5,2,3,3,Organisation / gestion de projet,Finance / comptabilité,Oui,Bureau,Gestion / management,Étudiant(e) — ou diplômé(e) depuis peu,FIC — Finances et Comptabilités,M2,4,Oui,,,,,
26/08/2026 18:41:57,D'accord ,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,SVT,3,4,5,3,"Rédaction / communication, Créativité / design, Vente / négociation, Travail en équipe","Sciences, BTP / construction, Santé / social","Compétition de volley ball, compétition d'orthographe et de mathématiques à l'alliance française ",Mixte / peu importe,"Gestion / management, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,FIC — Finances et Comptabilités,M2,3,Non,,,,,
26/08/2026 19:10:54,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"Mathématiques, Physique-Chimie, SVT",4,3,3,2,Analyse de données / logique,"Sciences, Entrepreneuriat / business, Art / design / audiovisuel, Autre",,Laboratoire,"Technique / ingénierie, Recherche / enseignement",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L2,4,Oui,,,,,
26/08/2026 19:17:00,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,Physique-Chimie,3,4,4,3,Organisation / gestion de projet,"Entrepreneuriat / business, Finance / comptabilité",,Mixte / peu importe,"Gestion / management, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,EMP — Économie et Management de Projet,M2,5,Oui,,,,,
26/08/2026 19:29:19,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",3,4,5,2,"Créativité / design, Autre","Sciences, Agriculture / environnement",,Laboratoire,"Technique / ingénierie, Recherche / enseignement",Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,L2,5,Oui,,,,,
26/08/2026 19:57:47,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Informatique / Technologie",3,3,4,1,Autre,"Technologie / informatique, Sciences, Autre",,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",M2,4,Oui,,,,,
26/08/2026 20:11:37,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,Technique génie civil,"Mathématiques, Physique-Chimie, Français / Littérature",1,1,5,1,"Rédaction / communication, Autre","Art / design / audiovisuel, BTP / construction",,Mixte / peu importe,"Technique / ingénierie, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,GCA — Génie Civil et Architecture,M2,2,Non,,,,,
26/08/2026 20:13:39,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, SVT, Langues étrangères",2,3,3,2,"Rédaction / communication, Organisation / gestion de projet, Travail en équipe","Entrepreneuriat / business, Finance / comptabilité",Non,Bureau,"Gestion / management, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,EMP — Économie et Management de Projet,M2,5,Oui,,,,,
26/08/2026 20:36:08,D'accord,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",4,3,2,2,"Programmation, Analyse de données / logique, Créativité / design, Travail en équipe","Technologie / informatique, Sciences, Art / design / audiovisuel","Oui, un projet de petit business",Bureau,"Technique / ingénierie, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",M2,5,Pas sûr(e),,,,,
26/08/2026 20:38:46,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,Autre,"Physique-Chimie, Informatique / Technologie, Sport",3,4,4,2,"Analyse de données / logique, Rédaction / communication, Créativité / design, Organisation / gestion de projet, Électronique / bricolage technique, Travail en équipe, Autre","Technologie / informatique, Sciences, Art / design / audiovisuel, Communication / médias, Autre",oui,Bureau,"Recherche / enseignement, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,ESIIA,Enseignant chercheur - Charger de liaison pédagogique,8 à 15 ans,4,Oui — laquelle : ___
