id,serie_bac,note_maths,note_sciences,note_langues,note_eco,matieres_preferees,competences,interets,environnement,metiers_vises,filiere
syn-00232,D,4,4,3,3,Economie / Gestion|Informatique / Technologie|Physique-Chimie,Programmation|Electronique / bricolage technique|Analyse de donnees / logique|Vente / negociation,Technologie / informatique|Entrepreneuriat / business|Art / design / audiovisuel|BTP / construction,Mixte,Entrepreneur / independant|Technique / ingenierie,EMII
syn-00233,A2,2,3,3,3,Arts|Francais / Litterature,Creativite / design|Programmation,Communication / medias|Agriculture / environnement,Laboratoire,Recherche / enseignement|Creation / design,TEE
syn-00234,S,4,2,2,3,Economie / Gestion|Histoire-Geographie|Sport,Programmation|Vente / negociation|Travail en equipe|Creativite / design,Entrepreneuriat / business|Tourisme / hotellerie|Finance / comptabilite|Sante / social,Laboratoire,Entrepreneur / independant,CAA
syn-00235,S,3,3,2,2,Arts|Mathematiques|Francais / Litterature,Programmation|Creativite / design|Redaction / communication,Sciences|Finance / comptabilite,Bureau,Gestion / management,ISAIA
syn-00236,A2,4,2,5,4,Economie / Gestion|Langues etrangeres,Organisation / gestion de projet|Creativite / design|Travail en equipe,Sciences|Communication / medias|Finance / comptabilite,Terrain / exterieur,Commerce / relation client|Entrepreneur / independant,CAA
syn-00237,D,3,3,3,2,Sport|Francais / Litterature|Mathematiques,Travail en equipe|Redaction / communication|Organisation / gestion de projet,Technologie / informatique|Droit / justice,Terrain / exterieur,Entrepreneur / independant|Gestion / management,DTJA
syn-00238,S,3,3,4,3,Sport|Arts|Langues etrangeres,Creativite / design|Redaction / communication|Travail en equipe|Analyse de donnees / logique,Droit / justice|Art / design / audiovisuel|BTP / construction,Bureau,Commerce / relation client,IMTICIA
syn-00239,A1,3,4,3,2,Arts|Informatique / Technologie|Physique-Chimie,Travail en equipe|Programmation|Creativite / design|Analyse de donnees / logique,Sciences|Technologie / informatique,Bureau,Gestion / management|Entrepreneur / independant,DTJA
syn-00240,L,3,5,4,3,Langues etrangeres|Francais / Litterature,Redaction / communication|Analyse de donnees / logique|Vente / negociation|Electronique / bricolage technique,Communication / medias|Agriculture / environnement,Bureau,Gestion / management|Recherche / enseignement,TEH
syn-00241,S,3,3,2,3,Langues etrangeres|Mathematiques|Economie / Gestion,Redaction / communication|Organisation / gestion de projet,Finance / comptabilite|Entrepreneuriat / business|Communication / medias,Mixte,Entrepreneur / independant,CAA
syn-00242,S,5,3,3,4,Arts|Economie / Gestion|Francais / Litterature,Electronique / bricolage technique|Vente / negociation,Art / design / audiovisuel|Entrepreneuriat / business|Communication / medias|Sciences,Mixte,Creation / design,CAA
syn-00243,S,4,3,3,3,Francais / Litterature|Langues etrangeres,Electronique / bricolage technique|Redaction / communication|Creativite / design,BTP / construction|Communication / medias|Art / design / audiovisuel|Entrepreneuriat / business,Bureau,Commerce / relation client,CAA
syn-00244,Technique industrielle,4,4,2,4,Physique-Chimie|Informatique / Technologie,Analyse de donnees / logique|Travail en equipe|Vente / negociation,Agriculture / environnement|Technologie / informatique|Communication / medias|BTP / construction,Mixte,Creation / design|Entrepreneur / independant,ISAIA
syn-00245,C,4,4,2,3,Physique-Chimie|Mathematiques|Informatique / Technologie,Redaction / communication|Analyse de donnees / logique,Agriculture / environnement|Sante / social|Sciences,Mixte,Creation / design,PIP
syn-00246,A1,3,3,3,3,Physique-Chimie|Mathematiques,Electronique / bricolage technique|Programmation|Creativite / design,Tourisme / hotellerie|BTP / construction|Sciences,Bureau,Gestion / management|Entrepreneur / independant,TEE
syn-00247,Technique genie civil,5,3,4,2,Economie / Gestion|Langues etrangeres,Redaction / communication|Analyse de donnees / logique|Organisation / gestion de projet|Vente / negociation,BTP / construction|Agriculture / environnement|Droit / justice,Mixte,Recherche / enseignement,GCA
syn-00248,S,3,3,2,4,SVT|Sport,Travail en equipe|Redaction / communication|Analyse de donnees / logique,Agriculture / environnement|Droit / justice|Entrepreneuriat / business,Laboratoire,Recherche / enseignement,PIP
syn-00249,D,3,4,2,3,Arts|Francais / Litterature|Histoire-Geographie,Travail en equipe|Analyse de donnees / logique|Programmation,Tourisme / hotellerie|Communication / medias,Atelier / usine,Gestion / management|Entrepreneur / independant,IAA
syn-00250,C,3,1,5,3,Histoire-Geographie|Sport|Arts,Redaction / communication|Travail en equipe|Analyse de donnees / logique,Communication / medias|Sante / social,Mixte,Creation / design|Technique / ingenierie,TEH
syn-00251,D,4,3,1,4,Economie / Gestion|Histoire-Geographie|SVT,Programmation|Vente / negociation|Travail en equipe|Redaction / communication,Tourisme / hotellerie|Sante / social|Droit / justice,Laboratoire,Entrepreneur / independant|Gestion / management,CAA
syn-00252,D,3,4,2,2,Physique-Chimie|Informatique / Technologie|Histoire-Geographie,Programmation|Electronique / bricolage technique|Analyse de donnees / logique,Art / design / audiovisuel|Droit / justice|Technologie / informatique,Terrain / exterieur,Creation / design,EMII
syn-00253,C,4,3,4,2,Langues etrangeres|Sport,Creativite / design|Vente / negociation|Travail en equipe,Tourisme / hotellerie|Sante / social|Finance / comptabilite,Mixte,Creation / design|Entrepreneur / independant,TEH
syn-00254,D,4,5,2,3,Histoire-Geographie|Economie / Gestion,Electronique / bricolage technique|Organisation / gestion de projet,Entrepreneuriat / business|Art / design / audiovisuel|Sante / social|Tourisme / hotellerie,Mixte,Creation / design|Gestion / management,EMP
syn-00255,D,4,4,3,2,Histoire-Geographie|Informatique / Technologie,Electronique / bricolage technique|Vente / negociation|Programmation,Tourisme / hotellerie|Technologie / informatique,Bureau,Gestion / management|Recherche / enseignement,IGGLIA
syn-00256,C,3,4,3,1,Mathematiques|Informatique / Technologie,Electronique / bricolage technique|Analyse de donnees / logique,Sciences|Technologie / informatique,Bureau,Creation / design,IGGLIA
syn-00257,S,4,5,3,1,Physique-Chimie|Mathematiques,Analyse de donnees / logique|Organisation / gestion de projet|Creativite / design,Sciences|Finance / comptabilite|BTP / construction,Bureau,Technique / ingenierie|Entrepreneur / independant,GCA
syn-00258,S,1,4,3,1,Langues etrangeres|Arts,Travail en equipe|Creativite / design|Programmation,Communication / medias|Tourisme / hotellerie,Terrain / exterieur,Commerce / relation client,TEH
syn-00259,A1,4,3,4,4,Economie / Gestion|Informatique / Technologie|SVT,Electronique / bricolage technique|Programmation|Vente / negociation|Organisation / gestion de projet,Agriculture / environnement|Sciences|BTP / construction,Terrain / exterieur,Commerce / relation client,TEE
syn-00260,S,4,5,3,2,Physique-Chimie|Langues etrangeres,Analyse de donnees / logique|Programmation,Communication / medias|Sciences|Finance / comptabilite|Tourisme / hotellerie,Laboratoire,Gestion / management|Commerce / relation client,ICMP
syn-00261,C,4,3,4,3,Langues etrangeres|Physique-Chimie|Economie / Gestion,Redaction / communication|Creativite / design|Organisation / gestion de projet,Communication / medias|Sciences|Entrepreneuriat / business|Tourisme / hotellerie,Bureau,Technique / ingenierie,TEH
syn-00262,S,3,4,2,3,Sport|Histoire-Geographie|Langues etrangeres,Organisation / gestion de projet|Creativite / design|Travail en equipe,Sciences|Tourisme / hotellerie|Communication / medias|Finance / comptabilite,Terrain / exterieur,Commerce / relation client|Recherche / enseignement,TEH
syn-00263,S,4,4,3,2,Arts|Physique-Chimie,Analyse de donnees / logique|Creativite / design|Travail en equipe,BTP / construction|Communication / medias|Tourisme / hotellerie|Art / design / audiovisuel,Mixte,Technique / ingenierie,GCA
syn-00264,S,4,3,3,4,Informatique / Technologie|Economie / Gestion,Organisation / gestion de projet|Vente / negociation,Finance / comptabilite|BTP / construction,Bureau,Recherche / enseignement,FIC
syn-00265,A2,4,2,2,4,Mathematiques|Arts,Creativite / design|Vente / negociation,Sciences|Communication / medias,Bureau,Entrepreneur / independant|Creation / design,CAA
syn-00266,D,2,5,5,3,Mathematiques|Physique-Chimie,Analyse de donnees / logique|Electronique / bricolage technique|Vente / negociation|Redaction / communication,Tourisme / hotellerie|BTP / construction|Finance / comptabilite|Art / design / audiovisuel,Bureau,Technique / ingenierie|Creation / design,DTJA
syn-00267,L,2,3,3,3,Economie / Gestion|Arts,Vente / negociation|Organisation / gestion de projet|Programmation|Creativite / design,Finance / comptabilite|Communication / medias,Laboratoire,Gestion / management|Commerce / relation client,CAA
syn-00268,S,4,4,3,2,Langues etrangeres|Sport,Electronique / bricolage technique|Analyse de donnees / logique|Travail en equipe|Vente / negociation,Agriculture / environnement|Tourisme / hotellerie|Communication / medias|Finance / comptabilite,Atelier / usine,Commerce / relation client|Recherche / enseignement,TEH
syn-00269,D,3,4,3,3,Arts|Sport,Travail en equipe|Vente / negociation|Electronique / bricolage technique,Communication / medias|Tourisme / hotellerie,Bureau,Technique / ingenierie|Entrepreneur / independant,CAA
syn-00270,L,2,3,3,3,Histoire-Geographie|SVT|Informatique / Technologie,Programmation|Electronique / bricolage technique|Analyse de donnees / logique,Sciences|Sante / social|BTP / construction|Agriculture / environnement,Bureau,Entrepreneur / independant,TEE
syn-00271,C,4,2,3,3,Mathematiques|Francais / Litterature|Arts,Vente / negociation|Creativite / design,Communication / medias|Art / design / audiovisuel|Finance / comptabilite,Terrain / exterieur,Gestion / management,FIC
syn-00272,A2,2,2,4,3,Sport|Langues etrangeres,Creativite / design|Analyse de donnees / logique|Travail en equipe|Redaction / communication,Finance / comptabilite|Communication / medias,Atelier / usine,Commerce / relation client,TEE
syn-00273,S,4,2,3,1,SVT|Economie / Gestion|Arts,Creativite / design|Travail en equipe,Art / design / audiovisuel|Communication / medias|Sciences|Entrepreneuriat / business,Mixte,Creation / design,IMTICIA
syn-00274,D,4,2,3,3,Langues etrangeres|Arts,Programmation|Creativite / design,Finance / comptabilite|Communication / medias|BTP / construction|Technologie / informatique,Mixte,Creation / design|Commerce / relation client,IMTICIA
syn-00275,Technique genie civil,4,4,4,3,Histoire-Geographie|Mathematiques,Analyse de donnees / logique|Creativite / design,Droit / justice|Communication / medias,Bureau,Gestion / management|Recherche / enseignement,DTJA
syn-00276,D,3,5,4,4,Informatique / Technologie|Physique-Chimie,Analyse de donnees / logique|Travail en equipe|Programmation,Technologie / informatique|Sciences|BTP / construction,Bureau,Creation / design,IGGLIA
syn-00277,C,4,3,4,3,Langues etrangeres|Histoire-Geographie|Sport,Redaction / communication|Travail en equipe,Communication / medias|BTP / construction,Mixte,Creation / design|Technique / ingenierie,ESIIA
syn-00278,D,3,4,2,4,SVT|Langues etrangeres|Sport,Redaction / communication|Travail en equipe,Communication / medias|Finance / comptabilite|Sciences,Bureau,Entrepreneur / independant,CAA
syn-00279,A1,2,1,2,3,Sport|Economie / Gestion,Organisation / gestion de projet|Vente / negociation|Redaction / communication|Travail en equipe,Droit / justice|Agriculture / environnement|BTP / construction|Finance / comptabilite,Laboratoire,Entrepreneur / independant|Commerce / relation client,CAA
syn-00280,D,3,4,4,2,Francais / Litterature|SVT|Mathematiques,Redaction / communication|Analyse de donnees / logique|Creativite / design|Travail en equipe,Communication / medias|Droit / justice|Sante / social|Agriculture / environnement,Mixte,Creation / design,PIP
syn-00281,C,4,4,3,3,Francais / Litterature|SVT,Redaction / communication|Analyse de donnees / logique|Electronique / bricolage technique,Droit / justice|Agriculture / environnement,Terrain / exterieur,Creation / design,AEE
syn-00282,D,4,3,3,3,SVT|Economie / Gestion,Organisation / gestion de projet|Travail en equipe|Vente / negociation,Sciences|Droit / justice|BTP / construction,Bureau,Commerce / relation client|Recherche / enseignement,CAA
syn-00283,S,2,5,3,2,Histoire-Geographie|Informatique / Technologie,Electronique / bricolage technique|Vente / negociation|Creativite / design,Tourisme / hotellerie|Technologie / informatique|Droit / justice|Agriculture / environnement,Bureau,Technique / ingenierie,IGGLIA
syn-00284,Technique agricole,4,3,3,3,Informatique / Technologie|Sport|Histoire-Geographie,Redaction / communication|Programmation,Technologie / informatique|BTP / construction,Terrain / exterieur,Creation / design|Entrepreneur / independant,DTJA
syn-00285,A2,3,2,3,4,Histoire-Geographie|Physique-Chimie,Analyse de donnees / logique|Electronique / bricolage technique,Technologie / informatique|Droit / justice,Mixte,Gestion / management,EMP
syn-00286,A2,4,2,3,4,Arts|Francais / Litterature|Economie / Gestion,Analyse de donnees / logique|Creativite / design|Travail en equipe,BTP / construction|Entrepreneuriat / business|Art / design / audiovisuel|Droit / justice,Bureau,Recherche / enseignement,DTJA
syn-00287,S,3,4,5,1,Francais / Litterature|Histoire-Geographie|Physique-Chimie,Redaction / communication|Analyse de donnees / logique,Sciences|Entrepreneuriat / business,Bureau,Commerce / relation client,TEE
syn-00288,C,5,5,5,4,Francais / Litterature|Histoire-Geographie,Travail en equipe|Creativite / design|Programmation,Art / design / audiovisuel|Droit / justice|Entrepreneuriat / business,Mixte,Recherche / enseignement,DTJA
syn-00289,Technique genie civil,3,5,3,3,Physique-Chimie|SVT|Informatique / Technologie,Programmation|Vente / negociation,Sciences|Art / design / audiovisuel|Communication / medias|Sante / social,Mixte,Technique / ingenierie,CAA
syn-00290,C,5,2,4,4,SVT|Sport,Programmation|Travail en equipe|Electronique / bricolage technique|Analyse de donnees / logique,Sante / social|Agriculture / environnement|Technologie / informatique|Sciences,Mixte,Recherche / enseignement|Gestion / management,ISAIA
syn-00291,C,3,3,3,3,SVT|Arts|Informatique / Technologie,Electronique / bricolage technique|Programmation|Redaction / communication|Analyse de donnees / logique,Sante / social|Sciences,Bureau,Technique / ingenierie|Entrepreneur / independant,PIP
syn-00292,Technique industrielle,3,3,2,3,Arts|Sport,Travail en equipe|Analyse de donnees / logique,Art / design / audiovisuel|Agriculture / environnement,Mixte,Recherche / enseignement|Technique / ingenierie,ISAIA
syn-00293,S,4,4,4,4,Langues etrangeres|Francais / Litterature|Histoire-Geographie,Redaction / communication|Vente / negociation,Tourisme / hotellerie|Droit / justice|Agriculture / environnement,Bureau,Gestion / management,FIC
syn-00294,Technique agricole,4,4,5,2,SVT|Informatique / Technologie,Programmation|Travail en equipe|Electronique / bricolage technique|Redaction / communication,Agriculture / environnement|Entrepreneuriat / business,Bureau,Commerce / relation client,CAA
syn-00295,L,3,2,3,4,Langues etrangeres|Economie / Gestion|Mathematiques,Analyse de donnees / logique|Electronique / bricolage technique,Communication / medias|Sciences,Bureau,Recherche / enseignement|Commerce / relation client,FIC
syn-00296,D,4,2,2,3,Arts|Francais / Litterature,Creativite / design|Redaction / communication|Organisation / gestion de projet,Sante / social|Communication / medias,Bureau,Technique / ingenierie,IMTICIA
syn-00297,S,3,4,3,3,Mathematiques|Informatique / Technologie|Sport,Travail en equipe|Vente / negociation,Finance / comptabilite|Sciences|Entrepreneuriat / business,Terrain / exterieur,Recherche / enseignement,ISAIA
syn-00298,D,3,3,3,2,Arts|Langues etrangeres,Redaction / communication|Travail en equipe|Creativite / design|Vente / negociation,Communication / medias|Agriculture / environnement|Art / design / audiovisuel|Sciences,Bureau,Technique / ingenierie|Recherche / enseignement,IMTICIA
syn-00299,C,5,3,4,3,Sport|Mathematiques,Organisation / gestion de projet|Analyse de donnees / logique|Programmation,Agriculture / environnement|Sciences|Finance / comptabilite|Art / design / audiovisuel,Mixte,Entrepreneur / independant,ISAIA
syn-00300,D,3,4,2,4,Histoire-Geographie|Economie / Gestion,Vente / negociation|Organisation / gestion de projet|Creativite / design|Programmation,Finance / comptabilite|Entrepreneuriat / business,Terrain / exterieur,Gestion / management,EMP
syn-00301,S,3,4,1,3,Economie / Gestion|Informatique / Technologie,Organisation / gestion de projet|Vente / negociation|Travail en equipe,Art / design / audiovisuel|Entrepreneuriat / business,Bureau,Technique / ingenierie|Entrepreneur / independant,CAA
syn-00302,Technique agricole,3,4,5,3,Physique-Chimie|Mathematiques|Arts,Analyse de donnees / logique|Electronique / bricolage technique|Redaction / communication,Sante / social|Art / design / audiovisuel|Communication / medias,Mixte,Creation / design|Recherche / enseignement,PIP
syn-00303,A1,3,1,5,4,Physique-Chimie|Sport|Francais / Litterature,Electronique / bricolage technique|Travail en equipe|Vente / negociation|Creativite / design,Communication / medias|Droit / justice|Sciences|Finance / comptabilite,Mixte,Recherche / enseignement|Commerce / relation client,TEH
syn-00304,C,4,4,2,1,Francais / Litterature|Economie / Gestion|Mathematiques,Creativite / design|Redaction / communication,Communication / medias|Finance / comptabilite|Entrepreneuriat / business|Droit / justice,Atelier / usine,Commerce / relation client|Recherche / enseignement,EMII
syn-00305,Technique industrielle,3,4,3,3,SVT|Arts|Langues etrangeres,Redaction / communication|Creativite / design,Art / design / audiovisuel|BTP / construction,Terrain / exterieur,Technique / ingenierie|Creation / design,IMTICIA
syn-00306,C,4,3,4,2,Physique-Chimie|Langues etrangeres|Francais / Litterature,Travail en equipe|Analyse de donnees / logique|Organisation / gestion de projet|Electronique / bricolage technique,Communication / medias|Droit / justice|Finance / comptabilite|BTP / construction,Terrain / exterieur,Commerce / relation client|Creation / design,CAA
syn-00307,L,1,3,4,2,Langues etrangeres|Mathematiques,Analyse de donnees / logique|Redaction / communication|Vente / negociation|Creativite / design,Tourisme / hotellerie|Sciences,Bureau,Recherche / enseignement,TEH
syn-00308,D,3,4,3,3,Arts|Physique-Chimie|Mathematiques,Redaction / communication|Creativite / design,Sciences|Agriculture / environnement|Art / design / audiovisuel|Finance / comptabilite,Mixte,Gestion / management,ESIIA
syn-00309,A2,1,2,5,4,SVT|Francais / Litterature,Programmation|Redaction / communication,Sante / social|Droit / justice,Bureau,Gestion / management|Technique / ingenierie,DTJA
syn-00310,S,2,4,1,4,Sport|Francais / Litterature,Creativite / design|Travail en equipe|Vente / negociation,Sciences|Communication / medias|Finance / comptabilite|Tourisme / hotellerie,Mixte,Creation / design,PIP
syn-00311,Technique genie civil,3,4,2,2,Economie / Gestion|Mathematiques,Vente / negociation|Organisation / gestion de projet|Analyse de donnees / logique,Tourisme / hotellerie|BTP / construction|Finance / comptabilite|Entrepreneuriat / business,Laboratoire,Technique / ingenierie,FIC
syn-00312,S,5,2,5,4,Langues etrangeres|Histoire-Geographie,Creativite / design|Redaction / communication,BTP / construction|Tourisme / hotellerie|Technologie / informatique|Communication / medias,Bureau,Technique / ingenierie|Commerce / relation client,TEH
syn-00313,C,5,4,3,2,Arts|Sport,Programmation|Analyse de donnees / logique,Entrepreneuriat / business|Droit / justice,Mixte,Gestion / management|Technique / ingenierie,ISAIA
syn-00314,L,3,2,5,3,Histoire-Geographie|Physique-Chimie,Electronique / bricolage technique|Organisation / gestion de projet|Travail en equipe,BTP / construction|Tourisme / hotellerie|Art / design / audiovisuel,Bureau,Commerce / relation client|Entrepreneur / independant,TEH
syn-00315,S,4,4,3,3,Physique-Chimie|Mathematiques|Informatique / Technologie,Electronique / bricolage technique|Analyse de donnees / logique|Programmation|Travail en equipe,Finance / comptabilite|Technologie / informatique|Communication / medias|Sante / social,Bureau,Creation / design|Commerce / relation client,IMTICIA
syn-00316,C,3,4,2,4,SVT|Mathematiques|Histoire-Geographie,Redaction / communication|Analyse de donnees / logique|Vente / negociation,Finance / comptabilite|Tourisme / hotellerie|Entrepreneuriat / business|Sciences,Terrain / exterieur,Gestion / management|Technique / ingenierie,ISAIA
syn-00317,C,3,3,3,3,Francais / Litterature|Physique-Chimie|Arts,Redaction / communication|Analyse de donnees / logique|Electronique / bricolage technique|Creativite / design,BTP / construction|Finance / comptabilite|Technologie / informatique,Bureau,Recherche / enseignement|Entrepreneur / independant,EMII
syn-00318,A2,2,2,3,4,Histoire-Geographie|Francais / Litterature|SVT,Programmation|Analyse de donnees / logique,Droit / justice|BTP / construction|Tourisme / hotellerie|Sciences,Bureau,Technique / ingenierie,EMP
syn-00319,C,3,4,2,3,Economie / Gestion|Histoire-Geographie|Mathematiques,Vente / negociation|Organisation / gestion de projet|Analyse de donnees / logique,Technologie / informatique|Communication / medias|Tourisme / hotellerie,Terrain / exterieur,Recherche / enseignement,ISAIA
syn-00320,Technique genie civil,2,2,4,2,SVT|Histoire-Geographie|Economie / Gestion,Analyse de donnees / logique|Vente / negociation|Organisation / gestion de projet|Electronique / bricolage technique,Finance / comptabilite|Droit / justice|Tourisme / hotellerie,Atelier / usine,Recherche / enseignement|Creation / design,EMP
syn-00321,D,4,4,4,3,Economie / Gestion|Francais / Litterature|Sport,Redaction / communication|Analyse de donnees / logique|Organisation / gestion de projet|Travail en equipe,Art / design / audiovisuel|Droit / justice,Bureau,Creation / design,DTJA
syn-00322,L,2,2,4,3,Informatique / Technologie|Physique-Chimie,Electronique / bricolage technique|Analyse de donnees / logique|Programmation|Vente / negociation,Technologie / informatique|Tourisme / hotellerie|BTP / construction,Laboratoire,Creation / design|Commerce / relation client,TEH
syn-00323,D,4,4,4,3,Physique-Chimie|Histoire-Geographie|Francais / Litterature,Redaction / communication|Programmation|Analyse de donnees / logique|Electronique / bricolage technique,Sciences|BTP / construction|Droit / justice|Communication / medias,Atelier / usine,Technique / ingenierie,EMII
syn-00324,D,3,2,2,3,Mathematiques|Physique-Chimie,Electronique / bricolage technique|Analyse de donnees / logique|Redaction / communication|Programmation,BTP / construction|Entrepreneuriat / business,Bureau,Gestion / management,ISAIA
syn-00325,A2,3,4,3,5,Langues etrangeres|SVT,Analyse de donnees / logique|Organisation / gestion de projet|Redaction / communication|Creativite / design,Agriculture / environnement|Sciences|Communication / medias,Terrain / exterieur,Gestion / management,EMP
syn-00326,D,3,3,2,2,SVT|Economie / Gestion,Organisation / gestion de projet|Analyse de donnees / logique|Redaction / communication,Agriculture / environnement|Entrepreneuriat / business|BTP / construction|Sante / social,Bureau,Entrepreneur / independant|Technique / ingenierie,AEE
syn-00327,D,4,3,4,4,SVT|Histoire-Geographie,Travail en equipe|Creativite / design|Vente / negociation,Sante / social|Sciences|Droit / justice|Agriculture / environnement,Terrain / exterieur,Entrepreneur / independant|Technique / ingenierie,AEE
syn-00328,A1,2,2,3,4,Informatique / Technologie|SVT,Electronique / bricolage technique|Programmation|Organisation / gestion de projet|Vente / negociation,Technologie / informatique|Sciences|Finance / comptabilite|Entrepreneuriat / business,Mixte,Creation / design,EMP
syn-00329,Technique genie civil,3,2,3,3,Economie / Gestion|Informatique / Technologie,Organisation / gestion de projet|Programmation,Entrepreneuriat / business|Technologie / informatique|Droit / justice|Sante / social,Bureau,Technique / ingenierie|Entrepreneur / independant,EMP
syn-00330,A1,1,2,4,3,Arts|Physique-Chimie|Informatique / Technologie,Analyse de donnees / logique|Electronique / bricolage technique|Travail en equipe|Programmation,Technologie / informatique|Sante / social|BTP / construction,Atelier / usine,Creation / design,FIC
syn-00331,D,3,1,4,2,Mathematiques|Arts,Creativite / design|Electronique / bricolage technique,Communication / medias|Technologie / informatique|Finance / comptabilite|Art / design / audiovisuel,Terrain / exterieur,Creation / design,IMTICIA
syn-00332,A2,1,3,4,3,Arts|Informatique / Technologie,Programmation|Redaction / communication,Entrepreneuriat / business|Finance / comptabilite,Laboratoire,Entrepreneur / independant,CAA
syn-00333,D,2,2,5,4,Langues etrangeres|Informatique / Technologie,Creativite / design|Programmation|Redaction / communication|Electronique / bricolage technique,Communication / medias|Technologie / informatique|Sante / social|BTP / construction,Laboratoire,Recherche / enseignement|Gestion / management,IMTICIA
syn-00334,L,4,5,3,2,Mathematiques|Informatique / Technologie|Francais / Litterature,Analyse de donnees / logique|Programmation,Communication / medias|Tourisme / hotellerie|Technologie / informatique,Mixte,Entrepreneur / independant,TEH
syn-00335,C,4,3,3,2,Arts|Sport|Informatique / Technologie,Electronique / bricolage technique|Travail en equipe|Programmation|Vente / negociation,Tourisme / hotellerie|Sante / social|Technologie / informatique,Bureau,Technique / ingenierie|Creation / design,IGGLIA
syn-00336,C,3,4,2,4,Mathematiques|Informatique / Technologie|Economie / Gestion,Analyse de donnees / logique|Programmation|Travail en equipe|Organisation / gestion de projet,Finance / comptabilite|Droit / justice|Entrepreneuriat / business|Technologie / informatique,Mixte,Entrepreneur / independant|Technique / ingenierie,IGGLIA
syn-00337,A2,2,2,4,3,Langues etrangeres|Mathematiques|Informatique / Technologie,Programmation|Redaction / communication,Technologie / informatique|Entrepreneuriat / business|Communication / medias|BTP / construction,Atelier / usine,Commerce / relation client,TEE
syn-00338,A2,2,4,3,4,Langues etrangeres|Economie / Gestion|Informatique / Technologie,Vente / negociation|Electronique / bricolage technique|Redaction / communication|Organisation / gestion de projet,Tourisme / hotellerie|Entrepreneuriat / business|Droit / justice|Technologie / informatique,Bureau,Commerce / relation client,TEH
syn-00339,S,3,2,4,4,SVT|Francais / Litterature|Sport,Redaction / communication|Travail en equipe|Electronique / bricolage technique|Analyse de donnees / logique,Agriculture / environnement|Sciences|Communication / medias,Terrain / exterieur,Creation / design,AEE
syn-00340,D,3,3,1,3,Sport|Arts,Redaction / communication|Creativite / design,Tourisme / hotellerie|Art / design / audiovisuel|Sciences|Sante / social,Mixte,Recherche / enseignement,ICMP
syn-00341,A2,4,1,4,3,Sport|Arts|Langues etrangeres,Travail en equipe|Redaction / communication|Creativite / design|Programmation,Tourisme / hotellerie|Communication / medias,Mixte,Technique / ingenierie,DTJA
syn-00342,D,3,3,3,3,Informatique / Technologie|SVT|Physique-Chimie,Programmation|Travail en equipe,Sciences|Agriculture / environnement|BTP / construction|Tourisme / hotellerie,Bureau,Technique / ingenierie|Creation / design,ISAIA
syn-00343,C,5,5,3,4,Mathematiques|Arts,Redaction / communication|Analyse de donnees / logique,Finance / comptabilite|Art / design / audiovisuel|Sciences|Communication / medias,Mixte,Creation / design,ISAIA
syn-00344,C,5,1,3,2,Sport|Mathematiques|SVT,Travail en equipe|Analyse de donnees / logique|Electronique / bricolage technique|Organisation / gestion de projet,Technologie / informatique|Agriculture / environnement|Sciences|Finance / comptabilite,Terrain / exterieur,Recherche / enseignement,ISAIA
syn-00345,A2,3,1,3,4,Histoire-Geographie|Langues etrangeres|Physique-Chimie,Redaction / communication|Electronique / bricolage technique|Analyse de donnees / logique,Sante / social|Droit / justice|Tourisme / hotellerie,Terrain / exterieur,Commerce / relation client|Creation / design,TEE
syn-00346,C,5,3,3,2,Langues etrangeres|Histoire-Geographie|Mathematiques,Redaction / communication|Electronique / bricolage technique|Vente / negociation,Tourisme / hotellerie|Finance / comptabilite,Atelier / usine,Creation / design|Commerce / relation client,EMII
syn-00347,Technique industrielle,3,5,2,4,Sport|Mathematiques,Analyse de donnees / logique|Travail en equipe|Electronique / bricolage technique,Sciences|Technologie / informatique|Finance / comptabilite|Agriculture / environnement,Mixte,Entrepreneur / independant|Gestion / management,EMII
syn-00348,Technique industrielle,3,4,3,1,Mathematiques|Arts,Creativite / design|Analyse de donnees / logique|Electronique / bricolage technique,BTP / construction|Sciences|Art / design / audiovisuel,Atelier / usine,Technique / ingenierie|Recherche / enseignement,EMII
syn-00349,Technique industrielle,4,4,2,4,Mathematiques|Sport|Langues etrangeres,Analyse de donnees / logique|Electronique / bricolage technique|Organisation / gestion de projet,Technologie / informatique|Communication / medias|Finance / comptabilite,Terrain / exterieur,Creation / design,ISAIA
syn-00350,A1,3,2,3,3,Langues etrangeres|Arts|Economie / Gestion,Vente / negociation|Redaction / communication,Tourisme / hotellerie|Agriculture / environnement|Technologie / informatique,Atelier / usine,Entrepreneur / independant|Gestion / management,CAA
syn-00351,D,2,4,4,3,Physique-Chimie|Francais / Litterature,Programmation|Redaction / communication,BTP / construction|Communication / medias,Bureau,Creation / design|Gestion / management,CAA
syn-00352,C,5,3,2,3,Sport|Histoire-Geographie|Economie / Gestion,Redaction / communication|Electronique / bricolage technique,Technologie / informatique|Art / design / audiovisuel|Entrepreneuriat / business,Bureau,Gestion / management,IMTICIA
syn-00353,S,3,3,4,3,Francais / Litterature|Arts|Sport,Creativite / design|Electronique / bricolage technique|Programmation|Redaction / communication,Art / design / audiovisuel|Finance / comptabilite|Tourisme / hotellerie|Sciences,Laboratoire,Gestion / management|Recherche / enseignement,IMTICIA
